가식부 100g 당 (Per 100g Edible Portion),일반성분 Proximates,,,,무기질 Minerals,,,,,,,
식품명,칼로리,단백질,지방,"탄수
화물",칼슘,나트륨,철,인,칼륨,비타민 B1,비타민 B2,비타민 C
,kcal,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,,,,,,,
식품명,Energy,Protein,Fat,Carbohydrate,Calcium,Sodium,Iron,P,K,VitaminB1,VitaminB2,VitaminC
"고추, 빨간색, 말린것",312,13.88,8.71,57.47,57,4,3.97,365,2634,0.129,2.465,0
"고추, 빨간색, 생것",85,3.12,2.73,15.34,14,1,0.75,81,575,0.39,0.383,122.74
"고추, 수비초, 빨간색, 생것",77,3.7,1.8,14.8,17,2,0.9,90,580,0.32,0.66,142
"고추, 시레나, 연두색, 생것",19,1,0.1,4.4,5,3,0.4,19,231,0.06,0.02,40
"고추, 시레나, 초록색, 생것",23,1.1,0.1,5.4,4,3,0.5,23,199,0.05,0.03,47
"고추, 싹, 생것",21,2.6,0.1,3.8,39,0,8.5,61,0,0.04,0.24,8
"고추, 오이고추, 생것",23,0.99,0.12,5.51,11,1,0.39,27,227,0.137,0.038,78.01
"고추, 재래종, 풋고추, 생것",26,1.2,0.2,6,13,0,0.4,28,231,0.2,0.04,0
"고추, 청양고추, 생것",31,1.53,0.3,7.01,10,1,0.51,37,290,0.042,0.055,51.35
"고추, 풋고추, 생것",29,1.71,0.19,6.42,15,1,0.5,38,270,0.008,0.076,43.95
고추기름,919,0.02,99.8,0,13,0,0.05,0,0,0,0.003,0
"고추냉이, 가루",299,29.94,3.45,55.1,400,21,6.62,440,1142,0.924,2.946,219.13
"고추냉이, 뿌리, 생것",103,2.9,0.5,23.7,41,1,0.6,68,570,0.01,0.18,19
"고추냉이, 잎, 생것",36,3.7,0.5,6.3,73,0,4,81,104,0.25,0.26,100
"고추냉이, 줄기, 생것",24,0.9,0.2,5.6,18,0,1,31,63,0.09,0.04,53
"고추냉이, 페이스트",148,3.03,1.58,35.81,98,801,1.09,49,343,0.029,0.079,5.04
고추잡채,128,5.5,6,13.1,16,414,12.3,54,135,0.08,0.1,4
"고추장, 개량",205,3.66,1.38,51.76,25,2486,0.97,63,422,0.529,0.221,0
"고추장, 재래",178,5.15,2.28,41.12,43,2424,1.33,93,687,0.17,0.542,4.66
고추장아찌,124,2.39,0.63,31.49,16,2026,1.1,34,209,0.195,0.024,11.8
"고춧가루, 가루",319,13.29,8.4,60.62,79,13,4.89,342,2541,0.427,2.159,0
"고춧잎, 데친것",51,5.16,0.85,8.9,457,2,1.85,54,518,0.257,0.301,8.21
"고춧잎, 말린것",266,35.43,5.3,37.8,1495,25,31.61,447,3780,0.929,4.885,13.89
